Id,QLE_Button__c,SBQQ__SortOrder__c,Provisioning_Team__c,Fulfillment_Team__c,Provisioning_Queue__c,Generate_Fulfillment_Case__c,ProductCode,Bundle_Wrapper__c,Fulfillment_Family__c,Family,Revenue_Type__c,SBQQ__SubscriptionPricing__c,Name
01tDo000000UbDPIA0,,,,,false,false,WB,false,,,ASV,Fixed Price,Mag Back Cover
01tDo000000UbDjIAK,,,,,false,false,WP,false,,,ASV,Fixed Price,Mag Opp Pres Pg
01tDo000000UbDFIA0,,,,,false,false,WF,false,,,ASV,Fixed Price,Mag Full Page Ads
01tDo000000UbDoIAK,,,,,false,false,WC,false,,,ASV,Fixed Price,Mag Inside Front
01tDo000000UbDAIA0,,,,,false,false,WK,false,,,ASV,Fixed Price,Mag Div Sponsor Full
01tDo000000UbDtIAK,,,,,false,false,WE,false,,,ASV,Fixed Price,Mag Opp Edit Pg
01tDo000000UbDyIAK,,,,,false,false,WO,false,,,ASV,Fixed Price,Mag Opp Inside Back
01tDo000000UbEIIA0,,,,,false,false,PD,false,,,ASV,Fixed Price,Deluxe Proview
01tDo000000UbD5IAK,,,,,false,false,WL,false,,,ASV,Fixed Price,Mag Div Sponsor Half
01tDo000000UaCtIAK,,,,,false,false,BOUSR,false,,,1X,,Building Only (U.S. & Regions)
01tDo000000UbD0IAK,,,,,false,false,WH,false,,,ASV,Fixed Price,Mag Half Page Ads
01tDo000000UbDKIA0,,,,,false,false,WN,false,,,ASV,Fixed Price,Mag Opp Inside Front
01tDo000000UbDZIA0,,,,,false,false,WI,false,,,ASV,Fixed Price,Mag Half + 1 Advertorial
01tDo000000UbE3IAK,,,,,false,false,WZ,false,,,ASV,Fixed Price,Mag Inside Back
01tDo000000UbE8IAK,,,,,false,false,MW,false,,,ASV,Fixed Price,Mag Opp D&I Index
01tDo000000UbEDIA0,,,,,false,false,W2,false,,,ASV,Fixed Price,Mag 2-Page Spread
01tDo000000UaLDIA0,,,,,false,false,FSUSR,false,,,1X,,Full Service (U.S. & Regions)
01tDo000000UbDUIA0,,,,,false,false,WT,false,,,ASV,Fixed Price,Mag Opp BG Trade
01tDo000000UbDeIAK,,,,,false,false,WG,false,,,ASV,Fixed Price,Mag Full + 1 Advertorial
01tDo000000UZVbIAO,,,,,false,false,OK,false,,,Subscription,Fixed Price,"OKLAHOMA, OK"
01tDo000000Ua5yIAC,1x,,,,false,false,GS-CLS-BLDG,false,,Advertising,1X,,GreenSheet - Classified Building
01tDo000000UZioIAG,1x,,,,false,false,DPB-CLS,false,,Advertising,1X,,Daily Pacific Builder - Classified
01tDo000000UZZNIA4,1x,,,,false,false,GS-DSP-ENG,false,,Advertising,1X,,GreenSheet - Display Engineering
01tDo000000UaHJIA0,1x,,,,false,false,DCN-SBBD,false,,Advertising,1X,,Construction News Chicago - SubBid
01tDo000000UaPEIA0,1x,,,,false,false,DPB-DSP,false,,Advertising,1X,,Daily Pacific Builder - Display
01tDo000000Ua4ZIAS,1x,,,,false,false,DCN-OP,false,,Advertising,1X,,Construction News Chicago - Official Proposal
01tDo000000Ua60IAC,1x,,,,false,false,DWB-DSP,false,,Advertising,1X,,Dodge Daily & Weekly Bulletins - Display
01tDo000000Ua4BIAS,Print,,,,false,false,DDJ-LEGL-INS,false,,Advertising,Re-ocurring,Fixed Price,Denver Daily Journal - Legal Insurance
01tDo000000Ua9VIAS,1x,,,,false,false,GS-DSP-BLDG,false,,Advertising,1X,,GreenSheet - Display Building
01tDo000000UaSMIA0,1x,,,,false,false,GS-CLS-ENG,false,,Advertising,1X,,GreenSheet - Classified Engineering
01tDo000000Ua61IAC,1x,,,,false,false,DDJ-SBBD,false,,Advertising,1X,,Denver Daily Journal - Subbid
01tDo000000UZtVIAW,Print,,,,false,false,GS-DSP-AFFM,false,,Advertising,Re-ocurring,Fixed Price,GreenSheet - Display Affirmative Action
01tDo000000UaMTIA0,1x,,,,false,false,DCN-DSP,false,,Advertising,1X,,Construction News Chicago - Display
01tDo000000UZyVIAW,1x,,,,false,false,CONS-OP,false,,Advertising,1X,,Construction.com
01tDo000000UZoFIAW,1x,,,,false,false,DCN-CLS,false,,Advertising,1X,,Construction News Chicago - Classified
01tDo000000UZv4IAG,1x,,,,false,false,GS-RFB-BLDG,false,,Advertising,1X,,GreenSheet - Request for Bid Building
01tDo000000UZvJIAW,1x,,,,false,false,DDJ-DSP,false,,Advertising,1X,,Denver Daily Journal - Display
01tDo000000UZiEIAW,1x,,,,false,false,DDJ-LEGL,false,,Advertising,1X,,Denver Daily Journal - Legal
01tDo000000UZUcIAO,Print,,,,false,false,DDJ-DSP-AFFM,false,,Advertising,Re-ocurring,Fixed Price,Denver Daily Journal - Display Affirmative Action
01tDo000000UZjiIAG,1x,,,,false,false,GS-RFB-ENG,false,,Advertising,1X,,GreenSheet - Request for Bid Engineering
01tDo000000UZZdIAO,1x,,,,false,false,DDJ-CLS,false,,Advertising,1X,,Denver Daily Journal - Classified
01tDo000000UZlLIAW,1x,,,,false,false,DDJ-OP,false,,Advertising,1X,,Denver Daily Journal - Official Proposal
01tDo000000UZlOIAW,1x,,,,false,false,DWB-CLS,false,,Advertising,1X,,Dodge Daily & Weekly Bulletins - Classified
01tDo000000UZL2IAO,Print,,,,false,false,DPB-DSP-AFFM,false,,Advertising,Re-ocurring,Fixed Price,Daily Pacific Builder - Display Affirmative Action
01tDo000000UaEtIAK,1x,,,,false,false,DPB-RFB,false,,Advertising,1X,,Daily Pacific Builder - Request for Bid
01tDo000000UZFfIAO,,,,,false,false,NCOR,false,,Analytics,DCC,Fixed Price,1x New Construction OR Renovations/Remodel
01tDo000000UZJdIAO,,,,,false,false,NCAR,false,,Analytics,DCC,Fixed Price,1x New Construction AND Renovations/Remodel
01tDo000000UZgZIAW,,,,,false,false,36061,false,,DCC Geo,Subscription,Fixed Price,New York County
01t3i000000el53AAA,Other,,,AF,false,true,SNPK,false,,Forecasts,ASV,Fixed Price,Sneak Peek
01tDo000000Ua2jIAC,1x,,,Marketing Solutions,false,true,ADVISR,false,,Marketing Solutions,1X,,Accelerate - DODGE Speaker Bureau
01tDo000000Ua8DIAS,1x,,,Marketing Solutions,false,true,MSMICROVT,false,,Marketing Solutions,1X,,Accelerate - Microsite Sponsorship  - Vertical
