Id,QLE_Button__c,ProductCode,Fulfillment_Family__c,Family,SBQQ__SubscriptionPricing__c,Name
01tDo000000UZoFIAW,,DCN-CLS,,Advertising,,Construction News Chicago - Classified
01tDo000000UaSMIA0,,GS-CLS-ENG,,Advertising,,GreenSheet - Classified Engineering
01tDo000000UaPEIA0,,DPB-DSP,,Advertising,,Daily Pacific Builder - Display
01tDo000000UaMTIA0,,DCN-DSP,,Advertising,,Construction News Chicago - Display
01tDo000000UaHJIA0,,DCN-SBBD,,Advertising,,Construction News Chicago - SubBid
01tDo000000UaEtIAK,,DPB-RFB,,Advertising,,Daily Pacific Builder - Request for Bid
01tDo000000Ua9VIAS,,GS-DSP-BLDG,,Advertising,,GreenSheet - Display Building
01tDo000000Ua61IAC,,DDJ-SBBD,,Advertising,,Denver Daily Journal - Subbid
01tDo000000Ua60IAC,,DWB-DSP,,Advertising,,Dodge Daily & Weekly Bulletins - Display
01tDo000000Ua5yIAC,,GS-CLS-BLDG,,Advertising,,GreenSheet - Classified Building
01tDo000000Ua4ZIAS,,DCN-OP,,Advertising,,Construction News Chicago - Official Proposal
01tDo000000Ua4BIAS,,DDJ-LEGL-INS,,Advertising,Fixed Price,Denver Daily Journal - Legal Insurance
01tDo000000UZyVIAW,,CONS-OP,,Advertising,,Construction.com
01tDo000000UZvJIAW,,DDJ-DSP,,Advertising,,Denver Daily Journal - Display
01tDo000000UZv4IAG,,GS-RFB-BLDG,,Advertising,,GreenSheet - Request for Bid Building
01tDo000000UZtVIAW,,GS-DSP-AFFM,,Advertising,Fixed Price,GreenSheet - Display Affirmative Action
01tDo000000UZlOIAW,,DWB-CLS,,Advertising,,Dodge Daily & Weekly Bulletins - Classified
01tDo000000UZlLIAW,,DDJ-OP,,Advertising,,Denver Daily Journal - Official Proposal
01tDo000000UZjiIAG,,GS-RFB-ENG,,Advertising,,GreenSheet - Request for Bid Engineering
01tDo000000UZioIAG,,DPB-CLS,,Advertising,,Daily Pacific Builder - Classified
01tDo000000UZiEIAW,,DDJ-LEGL,,Advertising,,Denver Daily Journal - Legal
01tDo000000UZZdIAO,Print,DDJ-CLS,,Advertising,,Denver Daily Journal - Classified
01tDo000000UZZNIA4,,GS-DSP-ENG,,Advertising,,GreenSheet - Display Engineering
01tDo000000UZUcIAO,,DDJ-DSP-AFFM,,Advertising,Fixed Price,Denver Daily Journal - Display Affirmative Action
01tDo000000UZL2IAO,,DPB-DSP-AFFM,,Advertising,Fixed Price,Daily Pacific Builder - Display Affirmative Action
01t3i000000el53AAA,,SNPK,,Forecasts,Fixed Price,Sneak Peek
01tDo000000UZmDIAW,,10Q,,Marketing Solutions,,10Q
01tDo000000UZmkIAG,,MSMICRO,,Marketing Solutions,,Accelerate - Microsite Sponsorship  - Site
01tDo000000UaSxIAK,,LQP,,Marketing Solutions,Fixed Price,Accelerate - Outreach
01tDo000000UZrbIAG,1x,LQPBS,,Marketing Solutions,,Accelerate - Outreach - 1X
01tDo000000UZrgIAG,,SMRE,,Marketing Solutions,,SmartMarket Publication
01tDo000000UaHPIA0,,CRP,,Marketing Solutions,Fixed Price,Accelerate - Custom Research Project
01tDo000000UaCXIA0,,SPONSOR,,Marketing Solutions,,Accelerate - Research Sponsorship
01tDo000000UZJLIA4,,DA,,Marketing Solutions,Fixed Price,Business Builder Awareness Accelerator
01tDo000000UaMeIAK,,EVTSPON,,Marketing Solutions,,Accelerate - Event Sponsorship
01tDo000000UZxAIAW,,MSSMDIG,,Marketing Solutions,,Accelerate - SmartMarket Digest
01tDo000000UZciIAG,,MSCUSCON,,Marketing Solutions,,Accelerate - Custom Content
01tDo000000UZdKIAW,,MSPODCAST,,Marketing Solutions,,Accelerate - Smarter Building Podcast Series
01tDo000000Ua8DIAS,,MSMICROVT,,Marketing Solutions,,Accelerate - Microsite Sponsorship  - Vertical
01tDo000000UZiHIAW,,ITBAD,,Marketing Solutions,,Accelerate ITB Email Ad
01tDo000000UZikIAG,1x,CRPBS,,Marketing Solutions,,Accelerate - Custom Research Project - 1X
01tDo000000Ua2jIAC,,ADVISR,,Marketing Solutions,,Accelerate - DODGE Speaker Bureau
01tDo000000UaCcIAK,,MSWEB,,Marketing Solutions,,Accelerate - Sponsored Webinar
01tDo000000UZWlIAO,,DB-B,,Print,Fixed Price,Dodge Bulletin - Bundle
01tDo000000UZF8IAO,Print,DDJ,,Print,Fixed Price,Denver Daily Journal
01tDo000000UZMlIAO,,WM-B,,Print,Fixed Price,Construction News Weekly - Bundle
